Dominican Republic
Belize
Costa Rica
El Salvador
Guatemala
Honduras
Mexico
Nicaragua
Panama
Argentina
Bolivia
Brazil
Chile
Colombia
Ecuador
French Guiana (département of France)
Guyana
Paraguay
Peru
Suriname
Uruguay
Venezuela
Guadeloupe
Martinique
Puerto Rico
Saint-Barthélemy
Saint-Martin
