co_nombre,co_finalidad,co_direccion,co_telefono1,co_contacto1,co_telefono2,co_contacto2,co_telefono3,co_contacto3,co_website,co_banco,co_cuenta_destino,co_pago,co_vendedor,co_sonido,co_comentarios,co_fecha,co_fecha_act,co_estado,co_operador,co_terminal,co_mora,co_comision,co_rnc
CANCELADOS QUICENALES BHD ,HOTELERIA,0,0,0,,,,,,1,11387790035,2,0,NULL,,22:40.9,33:22.7,0,admin,DELL-PC,NULL,NULL,NULL
CANCELADOS QUINCENALES POPULAR,HOTELERIA,0,0,0,,,,,,5,795319581,2,0,NULL,,23:46.9,36:23.7,0,admin,DELL-PC,NULL,NULL,NULL
CASA PACO. S.A.,ALMACENISTA IMPORTADORES,ALMA MARTE CON BOLIVAR . ZONA UNIVERSITARIA...,8097480666,ENRIQUE,,,,,,1,24472460019,2,0,NULL,DISTRIBUIDORES DE PACO FISH. SALDINAS DEMAR,10:40.7,31:38.8,1,mmoris,DESKTOP-GSN33LR,0,0,131-37045-4
CATALONIA,0,0,0,0,,,,,,5,795319581,2,0,NULL,,08:12.5,35:16.9,0,mmoris,COBROS02,NULL,NULL,NULL
CENTRO DE OBSTETRICIA Y GINECOLOGIA S.A,CLINICA DEDICADA A LA GINECOLOGIA .,AVENIDA INDEPENDENCIA ESQUINA JOAQUIN PEREZ #451,8092217100,REC.,,,,,,1,24472460019,3,0,NULL,,25:48.5,25:48.5,1,jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
CENTRO DE OBSTETRICIA Y GINECOLOGIA S.A..,CLINICA DEDICADA A LA GINECOLOGIA,AVENIDA INDEPENDENCIA . ESQUINA JOAQUIN PEREZ #451,8092217100,REC,,,,,,2,300118368,3,0,NULL,,45:48.8,45:48.8,1,jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
CERVEZERIA NACIONAL DOMINICANA,0,,0,0,,,,,,1,24472460019,2,0,NULL,,44:16.6,44:16.6,1,cgonzalezz,DESKTOP-DFEQDJR,0,0,131-37045-4
CESAR IGLESIAS. S.A.,PRODUCTOS DE CONSUMO MASIVOS,,0,0,,,,,,1,24472460019,2,5,NULL,,30:55.1,12:15.0,1,cgonzalezz,DESKTOP-DFEQDJR,0,0,131-37045-4
CHIC CLUB VACACIONES,HOTELERIA,uvero alto,0,0,,,,,,2,300118368,2,0,NULL,,52:50.8,23:16.4,0,opaulino,SERVIDOR,NULL,NULL,NULL
CLARO S.A,COMPA¥IA DE TELECOMUNICACIONES,AVE. JOHN F. KENNEDY #54,8092201111,CENTRAL,,,,,,5,795319581,2,0,NULL,,42:03.2,20:44.9,1,jalvarez,DESKTOP-GSN33LR,0,0,131-37045-4
CLIENTES SEGUIMIENTO CESARINA,0,0,0,0,,,,,,1,24472460019,2,5,NULL,,52:52.7,46:47.3,0,opaulino,GERENCIA,0,0.5,131-37045-4
CLIENTES SEGUIMIENTO CK. MOISES,HOTELERIA,HIGUEY RD,8094550712,809554000,,,,,,2,9602119269,2,2,NULL,,06:21.7,47:18.6,0,YJIMENEZZ,DESKTOP-5UNDJ8S,0,0.5,131-37045-4
CLIENTES SEGUIMIENTO JEISY,0,0,0,0,,,,,,1,24472460019,2,5,NULL,,45:24.6,47:31.8,0,opaulino,GERENCIA,0,0.5,131-37045-4
